A,B,Du,Dv
0.037,0.060,0.2,0.1
0.030,0.062,0.2,0.1
0.025,0.060,0.2,0.1
0.078,0.061,0.2,0.1
0.039,0.058,0.2,0.1
0.026,0.051,0.2,0.1
0.034,0.056,0.2,0.1
0.014,0.054,0.2,0.1
0.018,0.051,0.2,0.1
0.014,0.045,0.2,0.1
0.062,0.061,0.2,0.1
0.05,0.06,0.2,0.1
0.03,0.058,0.2,0.1
0.03,0.055,0.2,0.1
0.02,0.0475,0.2,0.1
0.07,0.061,0.2,0.1
