,A,B,Du,Dv
0,0.03,0.024,0.1,0.020000000000000004
1,0.03,0.024,0.1,0.031111111111111114
2,0.03,0.024,0.1,0.042222222222222223
3,0.03,0.024,0.1,0.05333333333333334
4,0.03,0.024,0.1,0.06444444444444444
5,0.03,0.024,0.1,0.07555555555555556
6,0.03,0.024,0.1,0.08666666666666667
7,0.03,0.024,0.1,0.09777777777777777
8,0.03,0.024,0.1,0.10888888888888888
9,0.03,0.024,0.1,0.12
10,0.03,0.029666666666666668,0.1,0.020000000000000004
11,0.03,0.029666666666666668,0.1,0.031111111111111114
12,0.03,0.029666666666666668,0.1,0.042222222222222223
13,0.03,0.029666666666666668,0.1,0.05333333333333334
14,0.03,0.029666666666666668,0.1,0.06444444444444444
15,0.03,0.029666666666666668,0.1,0.07555555555555556
16,0.03,0.029666666666666668,0.1,0.08666666666666667
17,0.03,0.029666666666666668,0.1,0.09777777777777777
18,0.03,0.029666666666666668,0.1,0.10888888888888888
19,0.03,0.029666666666666668,0.1,0.12
20,0.03,0.035333333333333335,0.1,0.020000000000000004
21,0.03,0.035333333333333335,0.1,0.031111111111111114
22,0.03,0.035333333333333335,0.1,0.042222222222222223
23,0.03,0.035333333333333335,0.1,0.05333333333333334
24,0.03,0.035333333333333335,0.1,0.06444444444444444
25,0.03,0.035333333333333335,0.1,0.07555555555555556
26,0.03,0.035333333333333335,0.1,0.08666666666666667
27,0.03,0.035333333333333335,0.1,0.09777777777777777
28,0.03,0.035333333333333335,0.1,0.10888888888888888
29,0.03,0.035333333333333335,0.1,0.12
30,0.03,0.041,0.1,0.020000000000000004
31,0.03,0.041,0.1,0.031111111111111114
32,0.03,0.041,0.1,0.042222222222222223
33,0.03,0.041,0.1,0.05333333333333334
34,0.03,0.041,0.1,0.06444444444444444
35,0.03,0.041,0.1,0.07555555555555556
36,0.03,0.041,0.1,0.08666666666666667
37,0.03,0.041,0.1,0.09777777777777777
38,0.03,0.041,0.1,0.10888888888888888
39,0.03,0.041,0.1,0.12
40,0.03,0.04666666666666667,0.1,0.020000000000000004
41,0.03,0.04666666666666667,0.1,0.031111111111111114
42,0.03,0.04666666666666667,0.1,0.042222222222222223
43,0.03,0.04666666666666667,0.1,0.05333333333333334
44,0.03,0.04666666666666667,0.1,0.06444444444444444
45,0.03,0.04666666666666667,0.1,0.07555555555555556
46,0.03,0.04666666666666667,0.1,0.08666666666666667
47,0.03,0.04666666666666667,0.1,0.09777777777777777
48,0.03,0.04666666666666667,0.1,0.10888888888888888
49,0.03,0.04666666666666667,0.1,0.12
50,0.03,0.05233333333333333,0.1,0.020000000000000004
51,0.03,0.05233333333333333,0.1,0.031111111111111114
52,0.03,0.05233333333333333,0.1,0.042222222222222223
53,0.03,0.05233333333333333,0.1,0.05333333333333334
54,0.03,0.05233333333333333,0.1,0.06444444444444444
55,0.03,0.05233333333333333,0.1,0.07555555555555556
56,0.03,0.05233333333333333,0.1,0.08666666666666667
57,0.03,0.05233333333333333,0.1,0.09777777777777777
58,0.03,0.05233333333333333,0.1,0.10888888888888888
59,0.03,0.05233333333333333,0.1,0.12
60,0.03,0.057999999999999996,0.1,0.020000000000000004
61,0.03,0.057999999999999996,0.1,0.031111111111111114
62,0.03,0.057999999999999996,0.1,0.042222222222222223
63,0.03,0.057999999999999996,0.1,0.05333333333333334
64,0.03,0.057999999999999996,0.1,0.06444444444444444
65,0.03,0.057999999999999996,0.1,0.07555555555555556
66,0.03,0.057999999999999996,0.1,0.08666666666666667
67,0.03,0.057999999999999996,0.1,0.09777777777777777
68,0.03,0.057999999999999996,0.1,0.10888888888888888
69,0.03,0.057999999999999996,0.1,0.12
70,0.03,0.06366666666666666,0.1,0.020000000000000004
71,0.03,0.06366666666666666,0.1,0.031111111111111114
72,0.03,0.06366666666666666,0.1,0.042222222222222223
73,0.03,0.06366666666666666,0.1,0.05333333333333334
74,0.03,0.06366666666666666,0.1,0.06444444444444444
75,0.03,0.06366666666666666,0.1,0.07555555555555556
76,0.03,0.06366666666666666,0.1,0.08666666666666667
77,0.03,0.06366666666666666,0.1,0.09777777777777777
78,0.03,0.06366666666666666,0.1,0.10888888888888888
79,0.03,0.06366666666666666,0.1,0.12
80,0.03,0.06933333333333333,0.1,0.020000000000000004
81,0.03,0.06933333333333333,0.1,0.031111111111111114
82,0.03,0.06933333333333333,0.1,0.042222222222222223
83,0.03,0.06933333333333333,0.1,0.05333333333333334
84,0.03,0.06933333333333333,0.1,0.06444444444444444
85,0.03,0.06933333333333333,0.1,0.07555555555555556
86,0.03,0.06933333333333333,0.1,0.08666666666666667
87,0.03,0.06933333333333333,0.1,0.09777777777777777
88,0.03,0.06933333333333333,0.1,0.10888888888888888
89,0.03,0.06933333333333333,0.1,0.12
90,0.03,0.075,0.1,0.020000000000000004
91,0.03,0.075,0.1,0.031111111111111114
92,0.03,0.075,0.1,0.042222222222222223
93,0.03,0.075,0.1,0.05333333333333334
94,0.03,0.075,0.1,0.06444444444444444
95,0.03,0.075,0.1,0.07555555555555556
96,0.03,0.075,0.1,0.08666666666666667
97,0.03,0.075,0.1,0.09777777777777777
98,0.03,0.075,0.1,0.10888888888888888
99,0.03,0.075,0.1,0.12
100,0.03222222222222222,0.025777777777777778,0.1,0.020000000000000004
101,0.03222222222222222,0.025777777777777778,0.1,0.031111111111111114
102,0.03222222222222222,0.025777777777777778,0.1,0.042222222222222223
103,0.03222222222222222,0.025777777777777778,0.1,0.05333333333333334
104,0.03222222222222222,0.025777777777777778,0.1,0.06444444444444444
105,0.03222222222222222,0.025777777777777778,0.1,0.07555555555555556
106,0.03222222222222222,0.025777777777777778,0.1,0.08666666666666667
107,0.03222222222222222,0.025777777777777778,0.1,0.09777777777777777
108,0.03222222222222222,0.025777777777777778,0.1,0.10888888888888888
109,0.03222222222222222,0.025777777777777778,0.1,0.12
110,0.03222222222222222,0.0318641975308642,0.1,0.020000000000000004
111,0.03222222222222222,0.0318641975308642,0.1,0.031111111111111114
112,0.03222222222222222,0.0318641975308642,0.1,0.042222222222222223
113,0.03222222222222222,0.0318641975308642,0.1,0.05333333333333334
114,0.03222222222222222,0.0318641975308642,0.1,0.06444444444444444
115,0.03222222222222222,0.0318641975308642,0.1,0.07555555555555556
116,0.03222222222222222,0.0318641975308642,0.1,0.08666666666666667
117,0.03222222222222222,0.0318641975308642,0.1,0.09777777777777777
118,0.03222222222222222,0.0318641975308642,0.1,0.10888888888888888
119,0.03222222222222222,0.0318641975308642,0.1,0.12
120,0.03222222222222222,0.03795061728395062,0.1,0.020000000000000004
121,0.03222222222222222,0.03795061728395062,0.1,0.031111111111111114
122,0.03222222222222222,0.03795061728395062,0.1,0.042222222222222223
123,0.03222222222222222,0.03795061728395062,0.1,0.05333333333333334
124,0.03222222222222222,0.03795061728395062,0.1,0.06444444444444444
125,0.03222222222222222,0.03795061728395062,0.1,0.07555555555555556
126,0.03222222222222222,0.03795061728395062,0.1,0.08666666666666667
127,0.03222222222222222,0.03795061728395062,0.1,0.09777777777777777
128,0.03222222222222222,0.03795061728395062,0.1,0.10888888888888888
129,0.03222222222222222,0.03795061728395062,0.1,0.12
130,0.03222222222222222,0.044037037037037034,0.1,0.020000000000000004
131,0.03222222222222222,0.044037037037037034,0.1,0.031111111111111114
132,0.03222222222222222,0.044037037037037034,0.1,0.042222222222222223
133,0.03222222222222222,0.044037037037037034,0.1,0.05333333333333334
134,0.03222222222222222,0.044037037037037034,0.1,0.06444444444444444
135,0.03222222222222222,0.044037037037037034,0.1,0.07555555555555556
136,0.03222222222222222,0.044037037037037034,0.1,0.08666666666666667
137,0.03222222222222222,0.044037037037037034,0.1,0.09777777777777777
138,0.03222222222222222,0.044037037037037034,0.1,0.10888888888888888
139,0.03222222222222222,0.044037037037037034,0.1,0.12
140,0.03222222222222222,0.050123456790123457,0.1,0.020000000000000004
141,0.03222222222222222,0.050123456790123457,0.1,0.031111111111111114
142,0.03222222222222222,0.050123456790123457,0.1,0.042222222222222223
143,0.03222222222222222,0.050123456790123457,0.1,0.05333333333333334
144,0.03222222222222222,0.050123456790123457,0.1,0.06444444444444444
145,0.03222222222222222,0.050123456790123457,0.1,0.07555555555555556
146,0.03222222222222222,0.050123456790123457,0.1,0.08666666666666667
