,run_id,model,A,B,Du,Dv,Nx,dx,Nt,dt,n_snapshots,output_file,random_seed,initial_condition,original_point,mean_deviation,std_deviation,max_dx,mean_dx,max_dt,mean_dt,dominant_power,total_power,max_u,max_v,rel_std_u,rel_std_v,filename,idx,ic,ic_type,ic_sigma_u,ic_sigma_v,ratio_b_a,ratio_dv_du
1152,ecbaef95-178b-4df6-b00d-6cd25561e5f0,bruss,4.75,24.0,2.0,22.0,128,1.0,60000,0.0025,100,/cluster/scratch/vogtva/data/bruss/phase_transition2/ecbaef95-178b-4df6-b00d-6cd25561e5f0_output.nc,442868218,"{""sigma_u"": 0.1, ""sigma_v"": 0.1}",{},2315.8046875,1321.220458984375,8.92587947845459,0.4551989436149597,2422905.5,787693.625,3.5806140899658203,54.910545349121094,39.41849136352539,35.42754364013672,5.558138946071267e-05,0.0017305422574281693,/cluster/scratch/vogtva/data/bruss/phase_transition2/ecbaef95-178b-4df6-b00d-6cd25561e5f0_output.nc,1152,"{'sigma_u': 0.1, 'sigma_v': 0.1}",,0.1,0.1,5.0526314,0.09090909
1153,2a45d943-3a33-4d7b-972b-570f722b6e24,bruss,4.75,25.40625,2.0,22.0,128,1.0,60000,0.0025,100,/cluster/scratch/vogtva/data/bruss/phase_transition2/2a45d943-3a33-4d7b-972b-570f722b6e24_output.nc,137165073,"{""sigma_u"": 0.1, ""sigma_v"": 0.1}",{},,,,,,,,,,,,,/cluster/scratch/vogtva/data/bruss/phase_transition2/2a45d943-3a33-4d7b-972b-570f722b6e24_output.nc,1153,"{'sigma_u': 0.1, 'sigma_v': 0.1}",,0.1,0.1,5.3486843,0.09090909
1154,07aa2037-995a-4c1f-a7c4-a2f4efd37fe3,bruss,4.75,26.8125,2.0,22.0,128,1.0,60000,0.0025,100,/cluster/scratch/vogtva/data/bruss/phase_transition2/07aa2037-995a-4c1f-a7c4-a2f4efd37fe3_output.nc,-611403683,"{""sigma_u"": 0.1, ""sigma_v"": 0.1}",{},,,,,,,,,,,,,/cluster/scratch/vogtva/data/bruss/phase_transition2/07aa2037-995a-4c1f-a7c4-a2f4efd37fe3_output.nc,1154,"{'sigma_u': 0.1, 'sigma_v': 0.1}",,0.1,0.1,5.644737,0.09090909
1155,8c2d2ae1-c3cd-433f-8cb8-6faed4dd8f33,bruss,4.75,28.21875,2.0,22.0,128,1.0,60000,0.0025,100,/cluster/scratch/vogtva/data/bruss/phase_transition2/8c2d2ae1-c3cd-433f-8cb8-6faed4dd8f33_output.nc,1960373877,"{""sigma_u"": 0.1, ""sigma_v"": 0.1}",{},,,,,,,,,,,,,/cluster/scratch/vogtva/data/bruss/phase_transition2/8c2d2ae1-c3cd-433f-8cb8-6faed4dd8f33_output.nc,1155,"{'sigma_u': 0.1, 'sigma_v': 0.1}",,0.1,0.1,5.9407897,0.09090909
1156,6b9c34d0-627a-4a6f-b563-774ba7acfe03,bruss,4.75,29.625,2.0,22.0,128,1.0,60000,0.0025,100,/cluster/scratch/vogtva/data/bruss/phase_transition2/6b9c34d0-627a-4a6f-b563-774ba7acfe03_output.nc,609024909,"{""sigma_u"": 0.1, ""sigma_v"": 0.1}",{},,,,,,,,,,,,,/cluster/scratch/vogtva/data/bruss/phase_transition2/6b9c34d0-627a-4a6f-b563-774ba7acfe03_output.nc,1156,"{'sigma_u': 0.1, 'sigma_v': 0.1}",,0.1,0.1,6.236842,0.09090909
1157,4e6f43de-7f5b-4239-bbaa-fe98715dbfbe,bruss,4.75,31.03125,2.0,22.0,128,1.0,60000,0.0025,100,/cluster/scratch/vogtva/data/bruss/phase_transition2/4e6f43de-7f5b-4239-bbaa-fe98715dbfbe_output.nc,913854059,"{""sigma_u"": 0.1, ""sigma_v"": 0.1}",{},,,,,,,,,,,,,/cluster/scratch/vogtva/data/bruss/phase_transition2/4e6f43de-7f5b-4239-bbaa-fe98715dbfbe_output.nc,1157,"{'sigma_u': 0.1, 'sigma_v': 0.1}",,0.1,0.1,6.5328946,0.09090909
1158,bb7858c5-fa4d-411b-b4f2-0d00b001e810,bruss,4.75,32.4375,2.0,22.0,128,1.0,60000,0.0025,100,/cluster/scratch/vogtva/data/bruss/phase_transition2/bb7858c5-fa4d-411b-b4f2-0d00b001e810_output.nc,-2125964993,"{""sigma_u"": 0.1, ""sigma_v"": 0.1}",{},,,,,,,,,,,,,/cluster/scratch/vogtva/data/bruss/phase_transition2/bb7858c5-fa4d-411b-b4f2-0d00b001e810_output.nc,1158,"{'sigma_u': 0.1, 'sigma_v': 0.1}",,0.1,0.1,6.8289475,0.09090909
1159,64b362de-46cc-494a-9b60-07d3b63282ec,bruss,4.75,33.84375,2.0,22.0,128,1.0,60000,0.0025,100,/cluster/scratch/vogtva/data/bruss/phase_transition2/64b362de-46cc-494a-9b60-07d3b63282ec_output.nc,2068196071,"{""sigma_u"": 0.1, ""sigma_v"": 0.1}",{},,,,,,,,,,,,,/cluster/scratch/vogtva/data/bruss/phase_transition2/64b362de-46cc-494a-9b60-07d3b63282ec_output.nc,1159,"{'sigma_u': 0.1, 'sigma_v': 0.1}",,0.1,0.1,7.125,0.09090909
